lichess_dataset_index,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
2495,044S4,r5k1/6pp/2p1q3/1p2p3/pP4R1/1rP3QP/6P1/4R1K1 b - - 1 28,a8a7 e1e5 b3b1 g1h2 e6d7 g4d4,2051,177,100,9,crushing endgame long,https://lichess.org/Cg2fwWPC/black#56
2498,044lp,r2q1r2/pp4kp/5pp1/3B4/2P2nP1/1P5P/P4P2/R2Q1RK1 w - - 0 21,d1d4 f4e2 g1g2 e2d4,873,75,100,1292,crushing fork middlegame short,https://lichess.org/CiUi6ksC#41
2513,046At,2k4r/2p2p2/2b1pN2/4Pp1p/p2R4/K1P3P1/2P4P/8 b - - 0 27,h8h6 f6g8 h6g6 g8e7,1575,274,100,5,crushing endgame master short,https://lichess.org/w2aMfGtE/black#54
2524,046tY,r1b2rk1/3n1p1p/p2p1p2/1p1Nq3/4P3/1PP2Q2/1P3PPP/R4RK1 b - - 0 16,c8b7 f3g4 g8h8 g4d7 b7d5 e4d5,1589,353,100,2,equality fork long middlegame,https://lichess.org/1wTsaNQ5/black#32
2530,0478I,r1b3k1/1pq2p1p/p1pr1np1/8/1P6/5N1P/PQ3PP1/1BR1R1K1 b - - 1 23,f6d5 e1e8,1256,149,100,46,mate mateIn1 middlegame oneMove,https://lichess.org/sKuqOwcn/black#46
2544,049LH,4r1k1/5ppp/1p6/p1pP4/P2b1qN1/1Q6/BPP4P/R6K w - - 0 24,d5d6 f4e4 b3f3 e4f3,1626,94,100,71,fork mate mateIn2 middlegame short,https://lichess.org/MI95G9Dg#47
2552,04ADf,8/4p2p/4k1p1/4P3/2P3b1/4R1P1/P2KB1r1/8 b - - 14 45,g2e2 e3e2 g4e2 d2e2,1380,362,100,2,crushing endgame short,https://lichess.org/XqUWQFae/black#90
2553,04AMm,7r/1b3k1r/p3p1p1/1p1pPpR1/3P3q/P2B4/1P4QP/6RK w - - 5 50,g5g6 h4h2 g2h2 h7h2,768,79,100,131,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/rIFdI7gK#99
2562,04BbH,3bQr2/1pqnR2k/p2p2pp/1PpP1p2/P1P5/6PP/1B3P2/6K1 b - - 4 28,d8e7 e8e7 f8f7 e7f7,1132,174,100,15,endgame mate mateIn2 short,https://lichess.org/wMTDTIK4/black#56
2564,04Bmg,3r2k1/5ppp/8/3P2P1/1R3p1P/5P2/1P3K2/8 b - - 0 33,d8d5 b4b8 d5d8 b8d8,625,81,100,281,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/V1woUU10/black#66
2580,04EiG,3k4/6Q1/1p1q3p/pB6/3p4/4r1PP/6PK/8 b - - 1 41,d6e5 g7d7,1355,374,100,11,endgame mate mateIn1 oneMove,https://lichess.org/MrcHXqTF/black#82
2583,04F9F,2r5/4p2k/p3P1pp/2pPQp2/1p6/8/qP4PP/2KR3R w - - 0 28,h2h4 c5c4 c1d2 c4c3 d2e2 c3b2 d1d2 b2b1q h1b1 a2b1,2325,90,100,41,advancedPawn crushing endgame interference pin promotion queensideAttack quietMove veryLong,https://lichess.org/ApSN8sJ1#55
2591,04GZH,rnb2rk1/pp3p1p/6pB/q7/2p5/4P3/P2NBPPP/Q3K2R b K - 1 15,f8d8 a1g7,1487,482,100,1,mate mateIn1 oneMove,https://lichess.org/9XMRqfeQ/black#30
2594,04Grm,2k4r/1b4p1/p6p/2b1Np2/3q4/P1Q2P2/1PP3PP/R4RK1 w - - 0 24,c3d4 c5d4 g1h1 d4e5,1401,500,100,0,equality fork middlegame short,https://lichess.org/Q4EasZu1#47
2595,04GvJ,2k5/pp6/r3p3/4PrPQ/2pP3P/2P1qp1R/PP3R2/2K5 w - - 3 39,c1d1 e3d3 d1c1 a6a2 h5e8 c8c7 e8e7 c7b6 e7e6 b6b5,1815,210,100,5,crushing defensiveMove endgame veryLong,https://lichess.org/2YLQ38Zx#77
2599,04HJt,rnbq3r/ppp2kpp/3b4/3p3Q/4n3/3B4/PPPP1PPP/RNB1K2R b KQ - 1 7,g7g6 h5d5 c8e6 d5e4,1642,309,100,3,equality fork opening short,https://lichess.org/vU8DaLLy/black#14
2607,04I5l,5k2/5bp1/7p/p2r4/2KB4/1PP1R1P1/P6P/8 w - - 5 36,e3f3 d5f5 c4d3 f5f3,1173,251,100,10,crushing discoveredAttack endgame short,https://lichess.org/uBo3xWMr#71
2636,04LeD,r5k1/pp3r2/4Q3/3R4/7N/2P3P1/PP3q1P/6K1 w - - 1 34,g1h1 f2f1,1211,220,100,24,endgame mate mateIn1 oneMove,https://lichess.org/nO0f8g3Y#67
2637,04Lge,8/4b1pk/2R1P1qp/3p4/3P4/5P1P/4QP2/1rN4K w - - 5 43,h1h2 e7d6 h2h1 g6f5 f3f4 f5f4 e2c2 g7g6 h1g1 f4h2 g1f1 h2h3,2033,204,100,11,crushing endgame veryLong,https://lichess.org/hf6mhaoy#85
2638,04Lkb,8/kb2p3/p1np4/2n1qN1p/4P3/4QP1P/P5P1/1R5K b - - 2 34,e7e6 f3f4 e5f6 f5d6 f6d4 e3d4,2012,191,100,13,crushing long middlegame pin,https://lichess.org/5Pk4PnZh/black#68
2654,04NVS,3r1r2/pb2qpkp/1pp1p1p1/3nPN2/3P4/P4BPR/1P3PP1/2QR1K2 b - - 1 25,e6f5 c1h6 g7h8 h6h7,1184,214,100,15,mate mateIn2 middlegame short,https://lichess.org/4OzFu6Us/black#50
2660,04O0Z,8/8/6pk/7q/1K5Q/1P6/P7/8 w - - 4 54,h4h5 g6h5 b4c5 h5h4 b3b4 h4h3 b4b5 h3h2 b5b6 h2h1q,1025,346,100,1,advancedPawn crushing promotion quietMove veryLong,https://lichess.org/tYRA3Hvn#107
2669,04Ov0,6k1/6pp/1p6/1b6/3pQ1N1/7P/5PPK/5q2 b - - 0 36,f1c4 e4a8 g8f7 g4e5 f7f6 e5c4,1513,133,100,31,crushing endgame fork long,https://lichess.org/jtwmvuUW/black#72
2675,04PHc,6k1/p2q1pp1/1p1P1r1p/8/5Q2/1P3P2/5PKP/3R4 w - - 4 26,f4e5 f6g6 g2f1 d7h3,1489,199,100,6,crushing endgame short,https://lichess.org/qmRc04nI#51
2676,04PR2,6rk/p2b1nr1/np5p/2pPp3/2P1Pp1q/P1QN1P2/2B1N1P1/1R3KR1 b - - 7 32,a6c7 d3e5 f7e5 c3e5,1845,271,100,4,crushing master middlegame short,https://lichess.org/laE86ojY/black#64
2680,04Q2g,1r6/1p2rppk/p2ppn1p/8/5P2/P1B1P2P/1P3P1K/R5R1 b - - 7 22,f6e4 g1g7 h7h8 g7f7 e4c3 f7e7,1129,76,100,95,crushing discoveredAttack endgame long,https://lichess.org/AyM1uozf/black#44
2694,04R6H,8/1p6/p2knN2/8/2P3p1/PP2Kp2/8/8 b - - 1 46,e6d4 e3d4 f3f2 f6e4,1531,190,100,13,crushing endgame hangingPiece knightEndgame short,https://lichess.org/U33Y39na/black#92
2697,04Ruq,8/pp5p/2p1k3/2P5/1P6/Pr5P/5RK1/8 w - - 1 38,f2f3 b3f3 g2f3 e6d5,1633,88,100,40,crushing endgame rookEndgame short,https://lichess.org/EzAc1nWD#75
2701,04SG1,5rk1/6p1/2p5/p1Qp4/2b5/P5B1/6PP/4RqK1 w - - 10 37,e1f1 f8f1,1005,174,100,32,endgame mate mateIn1 oneMove,https://lichess.org/5kR6VS1w#73
2712,04TYh,rn1q1rk1/p1b3pp/2p4N/P2pp3/1pPP1QP1/7P/1P6/R4RK1 b - - 1 22,g8h8 f4f8 d8f8 f1f8,1446,90,100,62,backRankMate mate mateIn2 middlegame short,https://lichess.org/FNMrvmZu/black#44
2714,04ThE,2r2rk1/p4p1p/2q3p1/2p1p3/3nN3/P3QPN1/1P3P1P/3R1RK1 w - - 0 29,e3g5 d4f3 g1g2 f3g5,1165,255,100,7,crushing fork middlegame pin short,https://lichess.org/efcWvHW9#57
2724,04UqY,r3rkR1/pbp2p1p/1pq2B2/8/2P5/P2P4/1P3PPP/R2Q2K1 b - - 4 23,f8g8 d1g4 g8f8 g4g7,1218,195,100,17,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/sUyfjdIb/black#46
2731,04VaA,8/p2r3p/R5p1/5p1k/3Pn2P/3R2PK/P4P2/8 w - - 13 31,a6a5 e4f2 h3g2 f2d3,1187,279,100,6,crushing endgame fork short,https://lichess.org/ocDRXkvi#61
2734,04VpU,6k1/6p1/6r1/2Rp3p/1p1Pb2P/4Q1q1/P1r2PP1/5RK1 w - - 0 34,e3g3 g6g3 f2g3 c2g2,1143,247,100,4,crushing endgame short,https://lichess.org/4LkdxvVb#67
2742,04Whq,2r5/p6k/1p2q1pp/3pB3/2nP4/P2QPP2/1P4P1/2R3K1 b - - 1 33,c4b2 c1c8 e6c8 d3b5 b2c4 b5d5,1796,271,100,5,crushing endgame long,https://lichess.org/KpUllN8A/black#66
2752,04Xuc,5k2/2p2p2/1p6/1P3pQ1/3Np1n1/2P1P1P1/3q1PK1/8 w - - 15 37,g5f5 g4e3 g2h3 e3f5,1281,75,100,369,crushing endgame pin short,https://lichess.org/sh7itPpx#73
2764,04ZIs,4r3/ppR5/3P2pk/3N2p1/2Bb2n1/1P5P/P5P1/1R4K1 w - - 1 32,g1f1 g4h2,1401,79,100,280,mate mateIn1 middlegame oneMove,https://lichess.org/oYX1AYgS#63
2768,04Zsc,8/6p1/3p2kp/3P4/4P1P1/2b4P/2K5/8 b - - 0 49,g6f6 c2c3 f6e5 c3d3,1235,188,100,13,crushing defensiveMove endgame hangingPiece short,https://lichess.org/89B5Xu0C/black#98
2773,04aQg,r5k1/3N1pp1/4p3/2P4p/8/4Q3/5Pq1/3RK3 w - - 2 38,d7e5 a8a2 d1d8 g8h7 d8d2 a2a1 e1e2 g2f1,1500,500,100,1,crushing endgame veryLong,https://lichess.org/MDy2x9hm#75
2780,04acU,1nr5/6k1/1R3p2/p2p4/2bP4/2P5/2B2KPP/8 b - - 3 31,b8d7 b6b7 c8b8 b7d7,1441,500,100,0,endgame equality pin short,https://lichess.org/uhSGnkyN/black#62
2796,04c6u,4rr1k/6pp/Q7/1pp5/3p3q/P2P4/1PP1RPPP/R5K1 w - - 3 25,a1e1 h4f2 e2f2 e8e1 f2f1 e1f1,1566,89,100,74,deflection endgame kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/QrIT4O9c#49
2799,04cNE,r1b2r2/p1p2p1k/2p1pQ2/6p1/6N1/2B5/P1P1KPP1/7q b - - 3 24,c8a6 e2f3 h1d1 f3g3 d1d6 c3e5,1747,256,100,5,crushing defensiveMove long middlegame,https://lichess.org/BhbE9con/black#48
2800,04cNs,8/6p1/1R3k1p/p6K/r4P1P/6P1/8/8 b - - 0 38,f6f5 b6g6 a4d4 g6g7,2280,93,100,34,crushing endgame rookEndgame short,https://lichess.org/OIha1UwO/black#76
2809,04dLQ,r4r1k/6pp/8/8/1p2Q3/P2PB3/1Pq2PPP/RN4K1 w - - 0 22,e4b4 c2d1 b4e1 d1e1,1043,76,100,1626,mate mateIn2 middlegame short,https://lichess.org/mcDDxWde#43
2814,04dt3,1k1r3r/ppq2p2/2Bp1B2/1Q6/4P1pp/P7/1PP2PPP/5RK1 w - - 2 22,f6e7 c7e7,1432,500,100,0,equality hangingPiece middlegame oneMove,https://lichess.org/KzyvyZsr#43
2827,04emC,r4rk1/pp2nRpp/2p1b2q/8/3P4/P1P4P/B4QP1/5RK1 b - - 0 24,e6a2 f7f8 a8f8 f2f8,1263,325,100,8,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/qO7hhHTO/black#48
2828,04eoA,r2r3k/6pp/1Q2Np2/7q/7n/6P1/PP3PK1/R4R2 w - - 0 29,g3h4 h5g4 g2h2 g4h4 h2g1 h4g4,1500,500,100,4,crushing long middlegame,https://lichess.org/E5FhaHdz#57
2840,04gY8,r5k1/3p1pp1/pQb1r3/4p2p/1P2P3/P2P4/2P1nPPP/R4R1K w - - 0 22,g2g3 c6e4 d3e4 e6b6,1582,178,100,15,crushing discoveredAttack middlegame short,https://lichess.org/9Q6zL40V#43
2848,04hAS,1r4k1/6pQ/1q2pr1p/1p1pb3/p7/P1PB3P/1P4P1/R4R1K b - - 3 33,g8f7 d3g6 f7e7 h7g7 e7d6 f1f6,1377,266,100,3,crushing deflection long middlegame,https://lichess.org/HNXnlSZt/black#66
2849,04hL6,2b1r1k1/4r1pp/p7/1p1p1p2/P2P1b2/2PQB1Pq/1P1N3P/R3R1K1 w - - 0 21,e3f4 e7e1 a1e1 e8e1,600,83,100,110,crushing kingsideAttack middlegame short,https://lichess.org/7zJzRM7c#41
2873,04j0p,6k1/3qp1Bp/n1p3p1/2PP4/pr4P1/5r2/1P1Q1P2/1K1R3R b - - 0 27,d7g4 d2h6 f3h3 h6h3 g4h3 h1h3,1716,334,100,2,crushing long middlegame,https://lichess.org/QePAskzA/black#54
2888,04kE6,4k3/1b3p2/p2p1Qp1/2qP3p/4PN2/7P/6PK/8 b - - 0 46,a6a5 e4e5 b7d5 e5d6 e8d7 f6e7 d7c6 e7c7,1500,500,100,0,crushing veryLong,https://lichess.org/3kOBszlH/black#92
2890,04kIM,7k/5pp1/7p/5Q2/q6P/8/5PP1/3r1RK1 w - - 5 33,f5f7 d1f1 g1f1 a4d1,1221,75,100,225,attraction endgame mate mateIn2 short,https://lichess.org/pk4iXnrq#65
2894,04kyG,r2q2k1/pp3ppp/3Pr3/8/2N1nB2/5Q1P/PP2BbP1/3R1K2 b - - 1 21,f2g3 f4g3 e6f6 g3f4,1612,500,100,0,defensiveMove equality middlegame short,https://lichess.org/iz5wkkKq/black#42
2905,04m0x,3qrb2/1R4pk/p5pp/8/2B5/PPB4P/6P1/5R1K b - - 0 38,e8e7 f1f8 d8f8 c3b4 e7e1 b4e1,1500,500,100,0,crushing long middlegame sacrifice,https://lichess.org/kmdTnj5Q/black#76
2910,04mNz,b7/7p/PB2k1p1/5p2/1N2p3/2b3P1/1r3P1P/3R2K1 w - - 0 36,b6d4 c3d4 d1d4 b2b1 g1g2 e4e3,1762,159,100,23,crushing discoveredAttack endgame long,https://lichess.org/6Mt19d4G#71
2913,04mxE,3r3r/1b4k1/p4qp1/1ppp1p2/5b2/P1P1PNP1/1PQ2PK1/3R3R w - - 0 41,e3f4 h8h1 g2h1 d5d4,1891,143,100,17,crushing middlegame pin short,https://lichess.org/FWQccnf2#81
2919,04nYt,8/pp1n1rk1/5q2/2pp1pPr/3PpQ2/1PP1P2R/P2N2P1/6K1 b - - 0 32,f6g5 h3g3 g5g3 f4g3,1579,500,100,0,equality middlegame pin short,https://lichess.org/aN3R0w7i/black#64
2941,04pTv,r4k2/p3q3/2p1ppQ1/1p1n2p1/3P4/2P1B3/PP3P1r/1K2R2R b - - 3 22,e7g7 g6g7 f8g7 h1h2,1500,500,100,0,crushing master middlegame short,https://lichess.org/ym7Jk4Tj/black#44
2945,04pyu,r3r1k1/ppp3pp/8/3qBRpQ/3P4/8/P1P3PP/R5K1 w - - 0 17,h5g5 e8e5 d4e5 d5d4 f5f2 d4a1,1404,368,100,3,equality fork long middlegame sacrifice,https://lichess.org/opDqf4NU#33
2953,04qg5,7r/2k1r2p/pnpq1p2/6p1/3P4/5N2/PPQ2PPP/2RR2K1 w - - 2 22,f3e5 f6e5 d4e5 d6g6 c2g6 h7g6,2243,287,100,6,equality long middlegame,https://lichess.org/cOsnLUr2#43
2955,04qhz,1k6/pp6/3p3p/4p1p1/4n3/3qP3/P3NKPP/4Q2R w - - 2 38,f2g1 d3e3 g1f1 e4d2 e1d2 e3d2,1139,75,100,363,crushing endgame long,https://lichess.org/Nih5yigS#75
2963,04rVT,R4br1/P2bkp2/2p2p1p/3np3/4Q1P1/7P/3PKP2/2q2B1R b - - 1 26,d5f4 e2f3 d7g4 h3g4 c1d1 f3e3,1611,500,100,0,defensiveMove equality long middlegame,https://lichess.org/JcG9moPM/black#52
2967,04ri9,6k1/p3B3/2b2bPQ/q1P5/4p3/P2r4/8/5R1K b - - 0 39,e4e3 h1g1 e3e2 h6h7,1478,93,100,74,defensiveMove mate mateIn2 middlegame short,https://lichess.org/l3PLeY67/black#78
2968,04rno,r2q1rk1/1b1nppbp/p2p1np1/1p6/P1pPBB2/2P1PN1P/1PQN1PP1/R4RK1 b - - 1 13,b7e4 d2e4 f6e4 c2e4,1576,322,100,3,equality middlegame short,https://lichess.org/mDB1uDZH/black#26
2975,04sT5,r2kr3/pp1n4/3Q1p1p/3Pn3/2Pq2pP/1B2RpP1/PP6/4RK2 b - - 0 30,e5c4 e3e8,1373,186,100,30,mate mateIn1 middlegame oneMove,https://lichess.org/cafqDkVy/black#60
2978,04srM,4n3/5Qpk/4p2p/3b4/P7/1q5P/6P1/5R1K w - - 1 37,f7e8 b3h3 h1g1 h3g2,1396,100,100,73,endgame mate mateIn2 pin short,https://lichess.org/xaB75wr4#73
2982,04t4Q,3r2r1/1b2nk2/p4p1p/1p1P4/1P5P/P4BP1/2PR1P2/3R2K1 b - - 0 29,e7d5 f3d5 d8d5 d2d5 b7d5 d1d5,830,75,100,1097,crushing long middlegame,https://lichess.org/YNS6p03w/black#58
2998,04uTD,r4rk1/pp4pp/2n2q2/5N2/8/8/PPQ2PPP/R4RK1 w - - 1 19,a1d1 f6f5 c2f5 f8f5,1456,283,100,2,crushing middlegame short,https://lichess.org/mYPVJIJ1#37
3000,04uwm,2k2r2/1pp4Q/p1nrp3/3pNn2/3P4/8/4q1PP/2R2RK1 b - - 4 26,c6e5 h7c7,1198,118,100,55,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/L9EpuxGc/black#52
3002,04vB5,5r1k/ppp3p1/1bn3Qp/8/1q2B3/2NP2PP/PPP4K/5R2 b - - 6 20,f8f1 g6h7,1754,171,100,37,mate mateIn1 middlegame oneMove,https://lichess.org/FNBTSrfZ/black#40
3006,04vhH,r3R1kr/pp1Q2pp/8/6q1/5N2/P7/1PP2PPP/6K1 b - - 1 29,a8e8 d7e8,1023,155,100,40,endgame mate mateIn1 oneMove,https://lichess.org/qruz3dEL/black#58
3012,04w30,8/1n3k2/1p3p2/1Pp1pP2/2PpP3/r2P4/r1BK4/1R4R1 w - - 2 36,g1h1 a3c3 b1c1 b7a5,1877,180,100,8,crushing endgame short,https://lichess.org/1CDpzyj2#71
3014,04wA9,8/1b4p1/5p1p/k1p2P2/2P1B1PP/4K3/8/8 b - - 1 57,b7e4 e3e4 a5a4 e4d5,1500,500,100,6,crushing endgame short,https://lichess.org/NrnRV23F/black#114
3025,04xaf,2r3k1/4q1r1/3R1Q1R/p2Pp3/1Np5/2Pn4/PP6/K7 w - - 1 40,f6e7 g7g1,911,81,100,142,mate mateIn1 middlegame oneMove,https://lichess.org/ELJX9Q56#79
3031,04xyZ,4rr2/1pqkp2R/p2p2p1/6Q1/4P3/5P2/PPP5/2K4R b - - 0 26,f8f3 g5g4 d7d8 g4f3,1314,269,100,9,crushing endgame fork short,https://lichess.org/4Te4EY2x/black#52
3033,04yLX,6k1/5pp1/5q1p/2p2P2/1p1r4/1P3Q1P/2P1RKP1/8 b - - 2 34,d4d1 e2e8 g8h7 f3d1,1323,76,100,99,crushing discoveredAttack endgame master short,https://lichess.org/lX0tP0zc/black#68
3038,04zCK,r5k1/6r1/8/3b1p1p/PB1p2pP/P1p5/2q2QP1/3RR1K1 b - - 3 36,c2b3 f2d4 d5e4 b4c3,1500,500,100,2,crushing middlegame short,https://lichess.org/xVWZdEBn/black#72
3039,04zFq,2r2q1k/pp4pp/2p1Q3/3P2B1/3P4/5N2/P4PPP/4b1K1 w - - 0 21,f3e1 c8e8 e1d3 e8e6,1681,179,100,7,crushing endgame short,https://lichess.org/SfJyGxSr#41
3043,04zsH,8/1r2k3/R3p1p1/K1n5/2P1P1P1/5P2/8/5R2 b - - 2 36,c5a6 a5a6 b7b4 c4c5 e7d7 f1d1 d7c6 d1d6 c6c5 d6e6,2179,192,100,6,crushing endgame quietMove veryLong,https://lichess.org/NRTGMryk/black#72
3045,04zwt,r4rk1/p1p3qp/1pnp2p1/3N4/2P1PRB1/7Q/Pb4PP/5R1K w - - 0 26,d5c7 g7c7 g4e6 g8g7,1958,110,100,26,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/XrTqGPDZ#51
3046,0505B,3N4/1R2ppkp/6p1/6P1/4p1n1/4P1P1/r4P2/6K1 b - - 2 32,a2f2 b7e7 g7f8 e7e4,1797,167,100,27,endgame equality short,https://lichess.org/wkzwYumW/black#64
3048,050OP,6r1/8/3k1p2/5N1p/1PP2p2/3K4/6PP/8 b - - 4 46,d6c6 f5e7 c6d7 e7g8,1019,180,100,18,crushing endgame fork short,https://lichess.org/isusFnRW/black#92
3049,050bz,8/3k1p1p/3P2p1/8/2N2BP1/2P2PK1/r7/7b b - - 0 40,a2c2 c4b6 d7c6 d6d7,1381,77,100,2039,advancedPawn crushing endgame short,https://lichess.org/j6F1um1m/black#80
3060,051He,8/6k1/2b5/6P1/2N4P/3r4/P4P1K/8 b - - 7 54,g7g6 c4e5 g6h5 e5d3,824,78,100,145,crushing endgame fork short,https://lichess.org/ZDJMtAjQ/black#108
3062,051Ol,2kq3r/2p2ppp/1nQbpn2/1P6/3P1P2/4B3/6PP/R4RK1 b - - 5 23,d8d7 a1a8 b6a8 c6a8,1296,111,100,72,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/T4bs9Vpt/black#46
3065,051fG,3rr1k1/p2n1pp1/1p3bbp/2p5/2B2P2/2N3B1/PPP2QPP/5RK1 w - - 1 21,c3d5 f6d4,1488,500,100,3,equality middlegame oneMove pin,https://lichess.org/eSSPxnSa#41
3072,052HE,r5k1/1bpqr3/1p1p2pR/3P4/5BPQ/p4P2/Pb4K1/7R b - - 1 29,b7d5 h6g6 e7g7 h4h8 g8f7 g6g7 b2g7 h8h5 f7f8 h5d5,2349,310,100,2,equality exposedKing fork middlegame veryLong,https://lichess.org/XvwKjeOT/black#58
3080,052ot,8/1p2k3/2p1p3/p3qpQ1/P7/2P3P1/1PK3P1/8 b - - 13 40,e7d6 g5d8 d6c5 d8a5 b7b5 a5a7 c5d6 a7b8,2272,100,100,32,crushing endgame interference queenEndgame veryLong,https://lichess.org/BXQc98QP/black#80
3081,052qo,5Q2/2k1pp2/3p1bp1/1B6/P2qP1n1/1P2R3/2r2P1P/4RK2 w - - 9 36,f8e8 c2f2 f1g1 g4e3 e8d7 c7b6 d7c6 b6a5,1802,264,100,2,crushing middlegame veryLong,https://lichess.org/w8CTmW73#71
3083,052yI,r4rk1/1p5p/p7/3p2q1/P2Pp1B1/1P2PpN1/5P2/R5QK w - - 0 28,g3e4 g5h4 g1h2 h4h2 h1h2 d5e4,1669,357,100,2,equality exposedKing long middlegame,https://lichess.org/4xsJQEEC#55
3085,0530f,3r2k1/p1p3pp/1p1r1p2/8/1Pq1P1Q1/P5P1/1B3PKP/2R5 b - - 1 26,c4b3 c1c7 g7g6 g4h4 d8d7 c7d7 d6d7 h4f6,1984,230,100,5,crushing endgame veryLong,https://lichess.org/eB8EI1PD/black#52
3100,053vG,1R6/1P4p1/7p/5P2/8/5kP1/1r5P/6K1 w - - 1 46,g1f1 b2b1,1247,135,100,36,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/VEKhqjnv#91
3113,0550i,2r3k1/p1pR1ppp/1p4b1/4r3/2P1P3/5B1P/P4KP1/3R4 b - - 3 26,e5c5 d7d8 c8d8 d1d8,600,83,100,217,backRankMate endgame mate mateIn2 short,https://lichess.org/rENNiTCZ/black#52
3119,055TQ,8/5p2/1rk1p1p1/3pP1Pp/3P3P/1R1K4/8/8 w - - 0 54,b3b6 c6b6 d3c3 b6a5 c3b3 a5b5,2008,74,100,132,crushing defensiveMove endgame long zugzwang,https://lichess.org/gQhrquzX#107
3120,055gT,r5k1/5p2/5Bp1/p6p/2r4P/5pK1/P2R1P2/8 b - - 1 32,a8a6 d2d8 g8h7 d8h8,863,179,100,18,endgame mate mateIn2 short,https://lichess.org/jEYHCgdi/black#64
3123,055m7,1r1nk2r/p2nbppp/8/4p3/Bp6/8/PPP2PPP/R1B1R1K1 b k - 6 16,e8g8 a4d7,1466,500,100,0,equality hangingPiece middlegame oneMove,https://lichess.org/hK9cVen0/black#32
3124,055tr,2r3k1/1b3pPp/7B/8/Bp1b4/6PP/7K/5R2 b - - 1 37,c8a8 a4b3 d4g7 h6g7 b7d5 b3d5,1535,236,100,6,crushing endgame long,https://lichess.org/PePfYcJ5/black#74
3125,055wS,6k1/p1p3p1/2q4p/4Q3/2PR4/2r3P1/P2K3P/8 b - - 6 37,c3a3 d4d8 g8h7 e5f5 c6g6 d8h8 h7h8 f5g6,1518,233,100,12,crushing deflection endgame veryLong,https://lichess.org/trPRh2Bs/black#74
3135,0570Z,5r1k/1Qb2qp1/7p/8/3p4/3N2PP/5PK1/4R3 b - - 0 41,c7d8 b7f7 f8f7 e1e8 h8h7 e8d8,1357,158,100,15,crushing endgame fork long,https://lichess.org/gDXdjk34/black#82
3139,057Fj,2r5/5k1p/4p1p1/1B1b2P1/1P3P2/p5RQ/P2R4/qK6 w - - 1 41,b1a1 c8c1,1156,157,100,50,endgame mate mateIn1 oneMove,https://lichess.org/eVAcbKIN#81
3145,0581A,5bk1/3p2pp/p1n1p1P1/1q1pP3/3P4/PrB2N2/1P1Q1P2/2R3K1 b - - 0 31,h7h6 d2f4 b5b8 f4f7,1500,500,100,3,crushing middlegame short,https://lichess.org/UeYLag25/black#62
3150,058MZ,r2q1rk1/pp3pnp/5b2/2p5/3pB3/P2P3P/1PPQ4/2K1R1R1 b - - 1 25,g8h8 d2h6 f6g5 g1g5 d8g5 h6g5,1700,333,100,1,crushing long middlegame,https://lichess.org/sT3pBPXg/black#50
3156,059NN,8/6R1/1k1B4/1B3p2/1P2bP2/1K2n3/2r5/8 w - - 4 56,b5d7 e4d5 b3a4 c2a2,1023,74,100,1804,endgame mate mateIn2 short,https://lichess.org/UMAuotQo#111
3163,05ARI,6k1/4pp1p/q2pb3/5PPB/3RP2P/1p6/rQ6/1KR5 w - - 1 33,f5e6 a2b2 b1b2 a6a2,1594,456,100,1,attraction endgame equality short,https://lichess.org/RmvFrA8q#65
3184,05DRo,r4Qkr/pp3ppp/5nN1/3pb3/8/8/PP3PPP/4R1K1 b - - 6 27,a8f8 g6e7,881,106,100,67,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/DGd0yID3/black#54
3189,05Do9,5r2/p3b3/2kp4/2p1p3/6p1/1P2qbP1/PKPR3P/1N3Q2 b - - 3 32,e7f6 f1a6 c6c7 a6d6 c7b7 d6f8,1538,231,100,11,crushing fork long middlegame,https://lichess.org/acU81Pla/black#64
3190,05Dxv,r4rk1/ppp2p2/3pnq2/2bBp1pQ/1P2P3/2PP3P/P4PP1/R4RK1 b - - 0 16,c7c6 d5e6 f7e6 b4c5,1529,500,100,1,equality middlegame short,https://lichess.org/dzoDXAKx/black#32
3196,05EJP,8/r4p1p/4p1p1/3pN1P1/2kP1P1P/4P3/1K6/8 b - - 12 38,c4b4 e5c6 b4b5 c6a7 b5b6 a7c8,1232,197,100,14,crushing endgame fork long,https://lichess.org/NZQ1psdI/black#76
3212,05FSt,4rrk1/pp5R/2n3p1/5N2/3pQ3/q2B4/2PK1PP1/3R4 b - - 0 25,e8e4 h7g7 g8h8 d1h1 e4h4 h1h4,1898,129,100,31,exposedKing long mate mateIn3 middlegame,https://lichess.org/2EiYR3Ez/black#50
3219,05FtN,3Q1r2/1R3p2/3b1kpp/3B4/3p1P2/6P1/4P2P/6K1 b - - 0 30,f8d8 b7f7,778,150,100,43,endgame mate mateIn1 oneMove,https://lichess.org/gUH7FFkt/black#60
